Datetime,Open,High,Low,Close,Volume
2026-04-08 13:30:00+00:00,6.440000,6.480000,6.310000,6.345000,5519674
2026-04-08 13:45:00+00:00,6.350000,6.378500,6.340000,6.360000,1329963
2026-04-08 14:00:00+00:00,6.365000,6.415000,6.360000,6.410000,2131007
2026-04-08 14:15:00+00:00,6.405000,6.420000,6.370000,6.400000,1745573
2026-04-08 14:30:00+00:00,6.405000,6.430000,6.390000,6.415000,1137896
2026-04-08 14:45:00+00:00,6.415000,6.440000,6.400000,6.420000,1621523
2026-04-08 15:00:00+00:00,6.415000,6.450000,6.415000,6.435000,1197387
2026-04-08 15:15:00+00:00,6.435000,6.460000,6.430000,6.446700,1261418
2026-04-08 15:30:00+00:00,6.440300,6.470000,6.440000,6.469900,985917
2026-04-08 15:45:00+00:00,6.470000,6.515000,6.430000,6.430000,3263842
2026-04-08 16:00:00+00:00,6.435000,6.510000,6.430000,6.480000,1383209
2026-04-08 16:15:00+00:00,6.480100,6.520000,6.480000,6.511800,1252029
2026-04-08 16:30:00+00:00,6.515000,6.530000,6.510000,6.520000,852495
2026-04-08 16:45:00+00:00,6.515000,6.540000,6.510000,6.530000,661650
2026-04-08 17:00:00+00:00,6.535000,6.540000,6.510000,6.521300,873283
2026-04-08 17:15:00+00:00,6.529700,6.530000,6.460100,6.465000,1620655
2026-04-08 17:30:00+00:00,6.465000,6.490000,6.450000,6.470100,640395
2026-04-08 17:45:00+00:00,6.475000,6.490000,6.455000,6.461700,360908
2026-04-08 18:00:00+00:00,6.465000,6.485000,6.450000,6.455000,606321
2026-04-08 18:15:00+00:00,6.460000,6.465000,6.440000,6.455000,742453
2026-04-08 18:30:00+00:00,6.455000,6.470000,6.410100,6.410100,610626
2026-04-08 18:45:00+00:00,6.410700,6.420000,6.370000,6.385000,1586391
2026-04-08 19:00:00+00:00,6.385000,6.395000,6.370000,6.395000,452333
2026-04-08 19:15:00+00:00,6.395000,6.400000,6.370000,6.380000,718459
2026-04-08 19:30:00+00:00,6.380000,6.400000,6.370000,6.395000,969162
2026-04-08 19:45:00+00:00,6.395000,6.410000,6.380000,6.400000,2254285
2026-04-09 13:30:00+00:00,6.580000,6.630000,6.490000,6.490100,10295146
2026-04-09 13:45:00+00:00,6.499900,6.508900,6.250000,6.260000,6549520
2026-04-09 14:00:00+00:00,6.265000,6.280000,6.160700,6.190000,4649603
2026-04-09 14:15:00+00:00,6.190000,6.210000,6.130000,6.165000,3116548
2026-04-09 14:30:00+00:00,6.165000,6.180000,6.140000,6.175000,2022944
2026-04-09 14:45:00+00:00,6.175000,6.190000,6.140000,6.150000,2129509
2026-04-09 15:00:00+00:00,6.140000,6.160000,6.030000,6.035000,4007384
2026-04-09 15:15:00+00:00,6.035000,6.070000,6.030000,6.048200,3271655
2026-04-09 15:30:00+00:00,6.050000,6.080000,6.020000,6.070000,3369382
2026-04-09 15:45:00+00:00,6.069600,6.165000,6.055000,6.138100,3926534
2026-04-09 16:00:00+00:00,6.135000,6.168900,6.110000,6.128800,1900613
2026-04-09 16:15:00+00:00,6.127600,6.129900,6.050000,6.065000,1795302
2026-04-09 16:30:00+00:00,6.065000,6.080000,6.045000,6.059900,2296226
2026-04-09 16:45:00+00:00,6.055000,6.060000,6.020000,6.040000,2426026
2026-04-09 17:00:00+00:00,6.040000,6.140000,6.040000,6.135000,1825127
2026-04-09 17:15:00+00:00,6.135000,6.190000,6.130000,6.171300,2023577
2026-04-09 17:30:00+00:00,6.170000,6.220000,6.155000,6.205000,1685705
2026-04-09 17:45:00+00:00,6.205000,6.209900,6.180000,6.195000,910273
2026-04-09 18:00:00+00:00,6.195000,6.200000,6.120000,6.138800,1175463
2026-04-09 18:15:00+00:00,6.132600,6.140000,6.100100,6.110000,681490
2026-04-09 18:30:00+00:00,6.105000,6.115000,6.090000,6.100700,629703
2026-04-09 18:45:00+00:00,6.105000,6.110000,6.080000,6.095000,882148
2026-04-09 19:00:00+00:00,6.095000,6.129900,6.095000,6.115000,798485
2026-04-09 19:15:00+00:00,6.115000,6.120000,6.090000,6.105000,795938
2026-04-09 19:30:00+00:00,6.105000,6.120000,6.082500,6.091200,1049742
2026-04-09 19:45:00+00:00,6.090000,6.100000,6.070000,6.070000,4208811
2026-04-10 13:30:00+00:00,6.140000,6.340000,6.100000,6.325000,7083800
2026-04-10 13:45:00+00:00,6.330000,6.550000,6.321500,6.550000,7369577
