Datetime,Open,High,Low,Close,Volume
2026-04-08 13:30:00+00:00,764.619995,772.500000,756.000000,770.830017,500639
2026-04-08 13:45:00+00:00,770.659973,774.398010,766.000000,768.150024,211037
2026-04-08 14:00:00+00:00,767.984985,768.969971,764.640015,766.250000,130193
2026-04-08 14:15:00+00:00,766.250000,766.789978,763.239990,763.700012,89833
2026-04-08 14:30:00+00:00,763.510010,764.325012,756.559998,757.830017,90211
2026-04-08 14:45:00+00:00,758.039978,758.979980,753.099976,755.164978,95909
2026-04-08 15:00:00+00:00,755.109985,759.429993,755.109985,758.919983,64277
2026-04-08 15:15:00+00:00,758.934998,764.969971,758.700012,763.909973,82364
2026-04-08 15:30:00+00:00,763.895020,766.622620,763.895020,766.380005,58694
2026-04-08 15:45:00+00:00,766.409973,767.659973,766.200012,766.830017,66443
2026-04-08 16:00:00+00:00,766.869995,768.140015,766.590027,766.609985,76751
2026-04-08 16:15:00+00:00,766.530029,766.570007,764.440002,765.440002,49636
2026-04-08 16:30:00+00:00,765.429993,767.549988,765.299988,766.965027,44753
2026-04-08 16:45:00+00:00,766.869995,767.402893,766.359985,767.119995,81274
2026-04-08 17:00:00+00:00,767.270020,768.020020,766.690125,767.645020,38050
2026-04-08 17:15:00+00:00,767.780029,768.000000,766.520020,767.049988,37267
2026-04-08 17:30:00+00:00,766.885010,770.458923,766.885010,769.979980,69486
2026-04-08 17:45:00+00:00,770.109985,771.020020,769.309998,770.710022,48102
2026-04-08 18:00:00+00:00,770.590027,773.650024,769.874878,773.109985,75119
2026-04-08 18:15:00+00:00,773.227417,773.609985,770.380005,771.390015,51040
2026-04-08 18:30:00+00:00,771.510010,772.539978,770.500000,770.644592,45132
2026-04-08 18:45:00+00:00,770.929993,771.859985,767.864990,768.640015,51049
2026-04-08 19:00:00+00:00,768.469971,771.155212,768.265015,770.049988,54775
2026-04-08 19:15:00+00:00,770.049988,770.450012,767.984985,768.969971,75597
2026-04-08 19:30:00+00:00,768.960022,771.109985,768.799988,770.539978,81226
2026-04-08 19:45:00+00:00,770.659973,772.340027,769.289978,771.559998,280579
2026-04-09 13:30:00+00:00,773.000000,784.679871,772.989990,781.469971,208461
2026-04-09 13:45:00+00:00,781.565002,787.771484,780.159973,785.590027,132933
2026-04-09 14:00:00+00:00,785.789978,786.789978,778.010010,778.335022,110268
2026-04-09 14:15:00+00:00,778.020020,778.580017,773.539978,777.500000,107487
2026-04-09 14:30:00+00:00,777.469971,779.349976,775.909973,779.090027,122834
2026-04-09 14:45:00+00:00,779.090027,782.330017,778.359985,781.770020,65970
2026-04-09 15:00:00+00:00,781.469971,782.030029,779.080017,780.094971,61128
2026-04-09 15:15:00+00:00,780.185120,781.999878,779.409973,781.000000,118049
