Date,Open,High,Low,Close,Volume
1999-01-22,0.040109,0.044765,0.035573,0.037603,2714688000
1999-01-25,0.040587,0.042019,0.037603,0.041542,510480000
1999-01-26,0.042019,0.042855,0.037722,0.038319,343200000
1999-01-27,0.038438,0.039393,0.036289,0.038200,244368000
1999-01-28,0.038200,0.038438,0.037841,0.038080,227520000
1999-01-29,0.038080,0.038200,0.036289,0.036289,244032000
1999-02-01,0.036289,0.037244,0.036289,0.037006,154704000
1999-02-02,0.036289,0.037244,0.033067,0.034141,264096000
1999-02-03,0.033663,0.035335,0.033424,0.034857,75120000
1999-02-04,0.035335,0.037722,0.034857,0.036767,181920000
1999-02-05,0.037364,0.038200,0.036409,0.037841,136848000
1999-02-08,0.038080,0.038200,0.036528,0.036528,154080000
1999-02-09,0.037244,0.037483,0.034618,0.035095,86976000
1999-02-10,0.035095,0.036051,0.034141,0.034738,148224000
1999-02-11,0.034857,0.039154,0.034857,0.037722,132240000
1999-02-12,0.038200,0.040109,0.038200,0.039871,109728000
1999-02-16,0.040587,0.042258,0.036051,0.040109,211008000
1999-02-17,0.039154,0.039632,0.037244,0.037960,67728000
1999-02-18,0.039154,0.039632,0.037483,0.038557,70704000
1999-02-19,0.038200,0.040587,0.037722,0.039871,75360000
1999-02-22,0.040587,0.041065,0.037960,0.040109,205248000
1999-02-23,0.041065,0.042855,0.038677,0.042019,138096000
1999-02-24,0.048227,0.050137,0.044287,0.045362,612768000
1999-02-25,0.047272,0.048704,0.043213,0.043930,149136000
1999-02-26,0.044407,0.045839,0.041542,0.041900,172608000
1999-03-01,0.042974,0.043930,0.040109,0.042139,92160000
1999-03-02,0.042019,0.042258,0.041065,0.041781,55248000
1999-03-03,0.042019,0.042019,0.038677,0.038916,61392000
1999-03-04,0.040825,0.041065,0.037722,0.038080,57360000
1999-03-05,0.038438,0.040348,0.038438,0.040229,78768000
1999-03-08,0.039154,0.042019,0.038438,0.040825,75888000
1999-03-09,0.040706,0.042736,0.040706,0.042139,143184000
1999-03-10,0.042736,0.042736,0.040825,0.041422,235344000
1999-03-11,0.040706,0.041422,0.039632,0.039632,54288000
1999-03-12,0.039871,0.039871,0.038200,0.038916,90768000
1999-03-15,0.039871,0.041065,0.039632,0.040587,108816000
1999-03-16,0.040825,0.041303,0.038916,0.039274,79152000
1999-03-17,0.039632,0.040348,0.038557,0.039513,51360000
1999-03-18,0.039632,0.040587,0.038677,0.039990,46320000
1999-03-19,0.039871,0.041303,0.039871,0.040109,105312000
1999-03-22,0.040945,0.041065,0.038916,0.038916,36672000
1999-03-23,0.039154,0.039154,0.035812,0.036528,163968000
1999-03-24,0.036289,0.036528,0.034857,0.036289,60864000
1999-03-25,0.036170,0.038200,0.036051,0.036767,40320000
1999-03-26,0.037244,0.040109,0.037244,0.039990,88272000
