Date,Open,High,Low,Close,Volume
1999-01-22,0.040018,0.044663,0.035492,0.037517,2714688000
1999-01-25,0.040494,0.041923,0.037517,0.041448,510480000
1999-01-26,0.041923,0.042757,0.037636,0.038231,343200000
1999-01-27,0.038350,0.039303,0.036206,0.038113,244368000
1999-01-28,0.038113,0.038350,0.037755,0.037993,227520000
1999-01-29,0.037993,0.038113,0.036206,0.036206,244032000
1999-02-01,0.036206,0.037159,0.036206,0.036922,154704000
1999-02-02,0.036206,0.037159,0.032991,0.034063,264096000
1999-02-03,0.033587,0.035254,0.033348,0.034778,75120000
1999-02-04,0.035254,0.037636,0.034778,0.036683,181920000
1999-02-05,0.037278,0.038113,0.036326,0.037755,136848000
1999-02-08,0.037993,0.038113,0.036445,0.036445,154080000
1999-02-09,0.037159,0.037397,0.034539,0.035015,86976000
1999-02-10,0.035015,0.035969,0.034063,0.034659,148224000
1999-02-11,0.034778,0.039065,0.034778,0.037636,132240000
1999-02-12,0.038113,0.040018,0.038113,0.039780,109728000
1999-02-16,0.040494,0.042162,0.035969,0.040018,211008000
1999-02-17,0.039065,0.039541,0.037159,0.037874,67728000
1999-02-18,0.039065,0.039541,0.037397,0.038469,70704000
1999-02-19,0.038113,0.040494,0.037636,0.039780,75360000
1999-02-22,0.040494,0.040971,0.037874,0.040018,205248000
1999-02-23,0.040971,0.042757,0.038589,0.041923,138096000
1999-02-24,0.048117,0.050023,0.044186,0.045258,612768000
1999-02-25,0.047164,0.048593,0.043114,0.043829,149136000
1999-02-26,0.044306,0.045735,0.041448,0.041804,172608000
1999-03-01,0.042876,0.043829,0.040018,0.042043,92160000
1999-03-02,0.041923,0.042162,0.040971,0.041685,55248000
1999-03-03,0.041923,0.041923,0.038589,0.038827,61392000
1999-03-04,0.040732,0.040971,0.037636,0.037993,57360000
1999-03-05,0.038350,0.040256,0.038350,0.040137,78768000
1999-03-08,0.039065,0.041923,0.038350,0.040732,75888000
1999-03-09,0.040613,0.042638,0.040613,0.042043,143184000
1999-03-10,0.042638,0.042638,0.040732,0.041328,235344000
1999-03-11,0.040613,0.041328,0.039541,0.039541,54288000
1999-03-12,0.039780,0.039780,0.038113,0.038827,90768000
1999-03-15,0.039780,0.040971,0.039541,0.040494,108816000
1999-03-16,0.040732,0.041209,0.038827,0.039185,79152000
1999-03-17,0.039541,0.040256,0.038469,0.039422,51360000
1999-03-18,0.039541,0.040494,0.038589,0.039899,46320000
1999-03-19,0.039780,0.041209,0.039780,0.040018,105312000
1999-03-22,0.040851,0.040971,0.038827,0.038827,36672000
1999-03-23,0.039065,0.039065,0.035731,0.036445,163968000
1999-03-24,0.036206,0.036445,0.034778,0.036206,60864000
1999-03-25,0.036087,0.038113,0.035969,0.036683,40320000
1999-03-26,0.037159,0.040018,0.037159,0.039899,88272000
1999-03-29,0.041090,0.042043,0.040375,0.041090,65952000
1999-03-30,0.041209,0.041566,0.037397,0.037636,69504000
1999-03-31,0.038827,0.040732,0.037041,0.040256,153600000
1999-04-01,0.040256,0.040494,0.038350,0.039065,30432000
1999-04-05,0.038589,0.039541,0.037636,0.037874,98640000
1999-04-06,0.038231,0.038350,0.036206,0.036922,69696000
1999-04-07,0.037159,0.040256,0.036922,0.040018,89280000
1999-04-08,0.040256,0.041923,0.039780,0.040732,130128000
1999-04-09,0.040971,0.040971,0.039780,0.040018,48624000
1999-04-12,0.039541,0.039541,0.037636,0.038350,33312000
1999-04-13,0.039065,0.039065,0.036206,0.036802,36144000
1999-04-14,0.036683,0.037517,0.035731,0.035731,48288000
1999-04-15,0.036683,0.036683,0.035731,0.036683,35856000
1999-04-16,0.036445,0.038469,0.036445,0.037874,38928000
1999-04-19,0.038350,0.038350,0.035731,0.036206,31296000
1999-04-20,0.036206,0.037636,0.035134,0.035492,67680000
1999-04-21,0.035492,0.036206,0.035254,0.036087,37488000
1999-04-22,0.036206,0.036206,0.034182,0.034539,227184000
1999-04-23,0.034420,0.034539,0.032634,0.032872,126048000
1999-04-26,0.032872,0.033348,0.030490,0.031205,123504000
1999-04-27,0.031919,0.034778,0.031443,0.034539,226944000
1999-04-28,0.034778,0.034778,0.033229,0.034301,120096000
