Date,Open,High,Low,Close,Volume
2009-06-25,1.055523,1.134405,1.055523,1.129849,2577600
2009-06-26,1.120216,1.136878,1.103424,1.123991,13104000
2009-06-29,1.132452,1.158485,1.116572,1.155882,8690400
2009-06-30,1.155881,1.165253,1.102513,1.128286,17128800
2009-07-01,1.141954,1.174235,1.137398,1.140392,12038400
2009-07-02,1.095875,1.096395,1.045891,1.046281,29275200
2009-07-06,1.017385,1.050316,1.006841,1.049144,22572000
2009-07-07,1.044069,1.046672,0.983801,0.983801,29016000
2009-07-08,1.002936,1.008923,0.950218,0.984972,49824000
2009-07-09,1.002284,1.013740,0.980547,0.991090,45892800
2009-07-10,0.973388,0.998770,0.961933,0.981588,51199200
2009-07-13,0.993433,1.055002,0.970003,1.053310,43675200
2009-07-14,1.063985,1.074918,1.040555,1.074918,38700000
2009-07-15,1.114359,1.173715,1.110063,1.166816,36921600
2009-07-16,1.155101,1.211333,1.149243,1.198055,46396800
2009-07-17,1.194540,1.204043,1.175276,1.195973,27374400
2009-07-20,1.220184,1.241922,1.200789,1.232290,37195200
2009-07-21,1.264180,1.266393,1.208209,1.252726,45237600
2009-07-22,1.228514,1.274203,1.226432,1.250383,37634400
2009-07-23,1.254157,1.351132,1.253116,1.333430,55022400
2009-07-24,1.312082,1.353345,1.294770,1.350871,60127200
2009-07-27,1.346706,1.365190,1.322104,1.362326,44935200
2009-07-28,1.334601,1.363628,1.309869,1.350742,46476000
2009-07-29,1.324839,1.345405,1.306615,1.332778,55908000
2009-07-30,1.383804,1.422333,1.372870,1.374432,55886400
2009-07-31,1.375864,1.409186,1.363497,1.378466,54871200
2009-08-03,1.427280,1.453053,1.402938,1.447846,39600000
2009-08-04,1.430143,1.466981,1.421682,1.461774,34984800
2009-08-05,1.465288,1.467501,1.412180,1.451360,62568000
2009-08-06,1.469454,1.473879,1.405802,1.424155,69249600
2009-08-07,1.471536,1.516834,1.447326,1.480648,44042400
2009-08-10,1.461513,1.482080,1.441598,1.470365,46512000
2009-08-11,1.453313,1.455005,1.405802,1.414394,48729600
2009-08-12,1.408536,1.494706,1.408536,1.463596,71791200
2009-08-13,1.483902,1.498090,1.440817,1.496658,100713600
2009-08-14,1.497830,1.497830,1.413482,1.460863,72115200
2009-08-17,1.377295,1.380159,1.345665,1.352304,84139200
2009-08-18,1.364278,1.399553,1.355557,1.389401,53431200
2009-08-19,1.352304,1.435611,1.350220,1.421292,61682400
2009-08-20,1.424807,1.475442,1.418819,1.467762,51573600
2009-08-21,1.501996,1.559529,1.493925,1.549767,61516800
2009-08-24,1.570463,1.596366,1.535448,1.549506,60307200
2009-08-25,1.570854,1.605478,1.551199,1.559790,85644000
2009-08-26,1.546252,1.582699,1.531803,1.559399,83944800
2009-08-27,1.556405,1.586214,1.506421,1.573848,111304800
2009-08-28,1.609773,1.614850,1.538442,1.568250,84880800
2009-08-31,1.523603,1.532715,1.500173,1.529721,103269600
2009-09-01,1.507072,1.562003,1.418298,1.425197,137505600
2009-09-02,1.409186,1.436911,1.399944,1.411659,67384800
2009-09-03,1.434699,1.450580,1.401638,1.442900,53100000
2009-09-04,1.454094,1.507332,1.441858,1.506030,63266400
2009-09-08,1.549897,1.550547,1.521390,1.545602,63734400
2009-09-09,1.554322,1.597017,1.539874,1.581918,54424800
2009-09-10,1.583220,1.632552,1.558747,1.630080,64742400
2009-09-11,1.638540,1.653380,1.606259,1.627737,66132000
2009-09-14,1.586864,1.660539,1.586864,1.655202,56160000
2009-09-15,1.661711,1.692039,1.628648,1.674076,76881600
2009-09-16,1.690477,1.749833,1.674207,1.748402,71560800
2009-09-17,1.743845,1.785369,1.713256,1.740071,96328800
2009-09-18,1.765062,1.765453,1.729267,1.745147,87868800
2009-09-21,1.704014,1.743976,1.693731,1.730439,58125600
2009-09-22,1.762719,1.775606,1.739030,1.762980,56448000
2009-09-23,1.774955,1.808018,1.708570,1.715729,108964800
2009-09-24,1.729572,1.738949,1.638933,1.660290,98856000
2009-09-25,1.649091,1.675658,1.616924,1.634766,92296800
2009-09-28,1.651957,1.732047,1.651957,1.719936,62006400
2009-09-29,1.731396,1.754968,1.695193,1.710169,75484800
2009-09-30,1.725405,1.727098,1.639584,1.687639,139968000
